baker_name,baker,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,technical,result
NA,Lee,NA,NA,NA,7,8,NA,NA,NA,NA
NA,Louise,NA,NA,NA,7,8,NA,NA,NA,NA
NA,Michael,NA,NA,NA,7,8,NA,NA,NA,NA
NA,Rav,NA,NA,NA,7,8,NA,NA,NA,NA
NA,Tom,NA,NA,NA,7,8,NA,NA,NA,NA
NA,Val,NA,NA,NA,7,8,NA,NA,NA,NA
NA,Benjamina,NA,NA,NA,7,9,NA,NA,NA,NA
NA,Kate,NA,NA,NA,7,9,NA,NA,NA,NA
NA,Lee,NA,NA,NA,7,9,NA,NA,NA,NA
NA,Louise,NA,NA,NA,7,9,NA,NA,NA,NA
NA,Michael,NA,NA,NA,7,9,NA,NA,NA,NA
NA,Rav,NA,NA,NA,7,9,NA,NA,NA,NA
NA,Tom,NA,NA,NA,7,9,NA,NA,NA,NA
NA,Val,NA,NA,NA,7,9,NA,NA,NA,NA
NA,Benjamina,NA,NA,NA,7,10,NA,NA,NA,NA
NA,Kate,NA,NA,NA,7,10,NA,NA,NA,NA
NA,Lee,NA,NA,NA,7,10,NA,NA,NA,NA
NA,Louise,NA,NA,NA,7,10,NA,NA,NA,NA
NA,Michael,NA,NA,NA,7,10,NA,NA,NA,NA
NA,Rav,NA,NA,NA,7,10,NA,NA,NA,NA
NA,Selasi,NA,NA,NA,7,10,NA,NA,NA,NA
NA,Tom,NA,NA,NA,7,10,NA,NA,NA,NA
NA,Val,NA,NA,NA,7,10,NA,NA,NA,NA
NA,Peter,NA,NA,NA,8,2,NA,NA,NA,NA
NA,Chris,NA,NA,NA,8,3,NA,NA,NA,NA
NA,Peter,NA,NA,NA,8,3,NA,NA,NA,NA
NA,Chris,NA,NA,NA,8,4,NA,NA,NA,NA
NA,Flo,NA,NA,NA,8,4,NA,NA,NA,NA
NA,Peter,NA,NA,NA,8,4,NA,NA,NA,NA
NA,Chris,NA,NA,NA,8,5,NA,NA,NA,NA
NA,Flo,NA,NA,NA,8,5,NA,NA,NA,NA
NA,Peter,NA,NA,NA,8,5,NA,NA,NA,NA
NA,Tom,NA,NA,NA,8,5,NA,NA,NA,NA
NA,Chris,NA,NA,NA,8,6,NA,NA,NA,NA
NA,Flo,NA,NA,NA,8,6,NA,NA,NA,NA
NA,James,NA,NA,NA,8,6,NA,NA,NA,NA
NA,Peter,NA,NA,NA,8,6,NA,NA,NA,NA
NA,Tom,NA,NA,NA,8,6,NA,NA,NA,NA
NA,Chris,NA,NA,NA,8,7,NA,NA,NA,NA
NA,Flo,NA,NA,NA,8,7,NA,NA,NA,NA
NA,James,NA,NA,NA,8,7,NA,NA,NA,NA
NA,Julia,NA,NA,NA,8,7,NA,NA,NA,NA
NA,Peter,NA,NA,NA,8,7,NA,NA,NA,NA
NA,Tom,NA,NA,NA,8,7,NA,NA,NA,NA
NA,Chris,NA,NA,NA,8,8,NA,NA,NA,NA
NA,Flo,NA,NA,NA,8,8,NA,NA,NA,NA
NA,James,NA,NA,NA,8,8,NA,NA,NA,NA
NA,Julia,NA,NA,NA,8,8,NA,NA,NA,NA
NA,Peter,NA,NA,NA,8,8,NA,NA,NA,NA
NA,Tom,NA,NA,NA,8,8,NA,NA,NA,NA
NA,Yan,NA,NA,NA,8,8,NA,NA,NA,NA
NA,Chris,NA,NA,NA,8,9,NA,NA,NA,NA
NA,Flo,NA,NA,NA,8,9,NA,NA,NA,NA
NA,James,NA,NA,NA,8,9,NA,NA,NA,NA
NA,Julia,NA,NA,NA,8,9,NA,NA,NA,NA
NA,Liam,NA,NA,NA,8,9,NA,NA,NA,NA
NA,Peter,NA,NA,NA,8,9,NA,NA,NA,NA
NA,Tom,NA,NA,NA,8,9,NA,NA,NA,NA
NA,Yan,NA,NA,NA,8,9,NA,NA,NA,NA
NA,Chris,NA,NA,NA,8,10,NA,NA,NA,NA
NA,Flo,NA,NA,NA,8,10,NA,NA,NA,NA
NA,James,NA,NA,NA,8,10,NA,NA,NA,NA
NA,Julia,NA,NA,NA,8,10,NA,NA,NA,NA
NA,Liam,NA,NA,NA,8,10,NA,NA,NA,NA
NA,Peter,NA,NA,NA,8,10,NA,NA,NA,NA
NA,Stacey,NA,NA,NA,8,10,NA,NA,NA,NA
NA,Tom,NA,NA,NA,8,10,NA,NA,NA,NA
NA,Yan,NA,NA,NA,8,10,NA,NA,NA,NA
NA,Antony,NA,NA,NA,9,1,NA,NA,12,IN
NA,Briony,NA,NA,NA,9,1,NA,NA,2,IN
NA,Dan,NA,NA,NA,9,1,NA,NA,4,IN
NA,Jon,NA,NA,NA,9,1,NA,NA,5,IN
NA,Karen,NA,NA,NA,9,1,NA,NA,6,IN
NA,Kim-Joy,NA,NA,NA,9,1,NA,NA,10,IN
NA,Luke,NA,NA,NA,9,1,NA,NA,8,IN
NA,Rahul,NA,NA,NA,9,1,NA,NA,7,IN
NA,Ruby,NA,NA,NA,9,1,NA,NA,1,IN
NA,Terry,NA,NA,NA,9,1,NA,NA,9,IN
NA,Imelda,NA,NA,NA,9,1,NA,NA,11,OUT
NA,Manon,NA,NA,NA,9,1,NA,NA,3,STAR BAKER
NA,Antony,NA,NA,NA,9,2,NA,NA,9,IN
NA,Briony,NA,NA,NA,9,2,NA,NA,5,IN
NA,Dan,NA,NA,NA,9,2,NA,NA,3,IN
NA,Jon,NA,NA,NA,9,2,NA,NA,1,IN
NA,Karen,NA,NA,NA,9,2,NA,NA,11,IN
NA,Kim-Joy,NA,NA,NA,9,2,NA,NA,4,IN
NA,Manon,NA,NA,NA,9,2,NA,NA,6,IN
NA,Ruby,NA,NA,NA,9,2,NA,NA,10,IN
NA,Terry,NA,NA,NA,9,2,NA,NA,8,IN
NA,Luke,NA,NA,NA,9,2,NA,NA,7,OUT
NA,Rahul,NA,NA,NA,9,2,NA,NA,2,STAR BAKER
NA,Imelda,NA,NA,NA,9,2,NA,NA,NA,NA
NA,Briony,NA,NA,NA,9,3,NA,NA,9,IN
NA,Dan,NA,NA,NA,9,3,NA,NA,6,IN
NA,Jon,NA,NA,NA,9,3,NA,NA,2,IN
NA,Karen,NA,NA,NA,9,3,NA,NA,5,IN
NA,Kim-Joy,NA,NA,NA,9,3,NA,NA,10,IN
NA,Manon,NA,NA,NA,9,3,NA,NA,3,IN
NA,Ruby,NA,NA,NA,9,3,NA,NA,7,IN
NA,Terry,NA,NA,NA,9,3,NA,NA,1,IN
NA,Antony,NA,NA,NA,9,3,NA,NA,8,OUT
NA,Rahul,NA,NA,NA,9,3,NA,NA,4,STAR BAKER
NA,Imelda,NA,NA,NA,9,3,NA,NA,NA,NA
NA,Luke,NA,NA,NA,9,3,NA,NA,NA,NA
NA,Terry,NA,NA,NA,9,4,NA,NA,NA,[a]
NA,Briony,NA,NA,NA,9,4,NA,NA,5,IN
NA,Jon,NA,NA,NA,9,4,NA,NA,3,IN
NA,Karen,NA,NA,NA,9,4,NA,NA,7,IN
NA,Kim-Joy,NA,NA,NA,9,4,NA,NA,6,IN
NA,Manon,NA,NA,NA,9,4,NA,NA,8,IN
NA,Rahul,NA,NA,NA,9,4,NA,NA,4,IN
NA,Ruby,NA,NA,NA,9,4,NA,NA,2,IN
NA,Dan,NA,NA,NA,9,4,NA,NA,1,STAR BAKER
NA,Antony,NA,NA,NA,9,4,NA,NA,NA,NA
NA,Imelda,NA,NA,NA,9,4,NA,NA,NA,NA
NA,Luke,NA,NA,NA,9,4,NA,NA,NA,NA
NA,Briony,NA,NA,NA,9,5,NA,NA,6,IN
NA,Dan,NA,NA,NA,9,5,NA,NA,2,IN
NA,Jon,NA,NA,NA,9,5,NA,NA,7,IN
NA,Manon,NA,NA,NA,9,5,NA,NA,5,IN
NA,Rahul,NA,NA,NA,9,5,NA,NA,3,IN
NA,Ruby,NA,NA,NA,9,5,NA,NA,1,IN
NA,Karen,NA,NA,NA,9,5,NA,NA,9,OUT
NA,Terry,NA,NA,NA,9,5,NA,NA,8,OUT
NA,Kim-Joy,NA,NA,NA,9,5,NA,NA,4,STAR BAKER
NA,Antony,NA,NA,NA,9,5,NA,NA,NA,NA
NA,Imelda,NA,NA,NA,9,5,NA,NA,NA,NA
NA,Luke,NA,NA,NA,9,5,NA,NA,NA,NA
NA,Jon,NA,NA,NA,9,6,NA,NA,2,IN
NA,Kim-Joy,NA,NA,NA,9,6,NA,NA,5,IN
NA,Manon,NA,NA,NA,9,6,NA,NA,4,IN
NA,Rahul,NA,NA,NA,9,6,NA,NA,3,IN
NA,Ruby,NA,NA,NA,9,6,NA,NA,7,IN
NA,Dan,NA,NA,NA,9,6,NA,NA,6,OUT
NA,Briony,NA,NA,NA,9,6,NA,NA,1,STAR BAKER
NA,Antony,NA,NA,NA,9,6,NA,NA,NA,NA
NA,Imelda,NA,NA,NA,9,6,NA,NA,NA,NA
NA,Karen,NA,NA,NA,9,6,NA,NA,NA,NA
NA,Luke,NA,NA,NA,9,6,NA,NA,NA,NA
NA,Terry,NA,NA,NA,9,6,NA,NA,NA,NA
NA,Briony,NA,NA,NA,9,7,NA,NA,5,IN
NA,Manon,NA,NA,NA,9,7,NA,NA,2,IN
NA,Rahul,NA,NA,NA,9,7,NA,NA,1,IN
NA,Ruby,NA,NA,NA,9,7,NA,NA,3,IN
NA,Jon,NA,NA,NA,9,7,NA,NA,4,OUT
NA,Kim-Joy,NA,NA,NA,9,7,NA,NA,6,STAR BAKER
NA,Antony,NA,NA,NA,9,7,NA,NA,NA,NA
NA,Dan,NA,NA,NA,9,7,NA,NA,NA,NA
NA,Imelda,NA,NA,NA,9,7,NA,NA,NA,NA
NA,Karen,NA,NA,NA,9,7,NA,NA,NA,NA
NA,Luke,NA,NA,NA,9,7,NA,NA,NA,NA
NA,Terry,NA,NA,NA,9,7,NA,NA,NA,NA
NA,Briony,NA,NA,NA,9,8,NA,NA,1,IN
NA,Kim-Joy,NA,NA,NA,9,8,NA,NA,2,IN
NA,Rahul,NA,NA,NA,9,8,NA,NA,5,IN
NA,Manon,NA,NA,NA,9,8,NA,NA,4,OUT
NA,Ruby,NA,NA,NA,9,8,NA,NA,3,STAR BAKER
NA,Antony,NA,NA,NA,9,8,NA,NA,NA,NA
NA,Dan,NA,NA,NA,9,8,NA,NA,NA,NA
NA,Imelda,NA,NA,NA,9,8,NA,NA,NA,NA
NA,Jon,NA,NA,NA,9,8,NA,NA,NA,NA
NA,Karen,NA,NA,NA,9,8,NA,NA,NA,NA
NA,Luke,NA,NA,NA,9,8,NA,NA,NA,NA
NA,Terry,NA,NA,NA,9,8,NA,NA,NA,NA
NA,Kim-Joy,NA,NA,NA,9,9,NA,NA,2,IN
NA,Rahul,NA,NA,NA,9,9,NA,NA,4,IN
NA,Briony,NA,NA,NA,9,9,NA,NA,3,OUT
NA,Ruby,NA,NA,NA,9,9,NA,NA,1,STAR BAKER
NA,Antony,NA,NA,NA,9,9,NA,NA,NA,NA
NA,Dan,NA,NA,NA,9,9,NA,NA,NA,NA
NA,Imelda,NA,NA,NA,9,9,NA,NA,NA,NA
NA,Jon,NA,NA,NA,9,9,NA,NA,NA,NA
NA,Karen,NA,NA,NA,9,9,NA,NA,NA,NA
NA,Luke,NA,NA,NA,9,9,NA,NA,NA,NA
NA,Manon,NA,NA,NA,9,9,NA,NA,NA,NA
NA,Terry,NA,NA,NA,9,9,NA,NA,NA,NA
NA,Kim-Joy,NA,NA,NA,9,10,NA,NA,1,Runner-up
NA,Ruby,NA,NA,NA,9,10,NA,NA,3,Runner-up
NA,Rahul,NA,NA,NA,9,10,NA,NA,2,WINNER
NA,Antony,NA,NA,NA,9,10,NA,NA,NA,NA
NA,Briony,NA,NA,NA,9,10,NA,NA,NA,NA
NA,Dan,NA,NA,NA,9,10,NA,NA,NA,NA
NA,Imelda,NA,NA,NA,9,10,NA,NA,NA,NA
NA,Jon,NA,NA,NA,9,10,NA,NA,NA,NA
NA,Karen,NA,NA,NA,9,10,NA,NA,NA,NA
NA,Luke,NA,NA,NA,9,10,NA,NA,NA,NA
NA,Manon,NA,NA,NA,9,10,NA,NA,NA,NA
NA,Terry,NA,NA,NA,9,10,NA,NA,NA,NA
NA,Alice,NA,NA,NA,10,1,NA,NA,5,IN
NA,Amelia,NA,NA,NA,10,1,NA,NA,4,IN
NA,David,NA,NA,NA,10,1,NA,NA,10,IN
NA,Helena,NA,NA,NA,10,1,NA,NA,12,IN
NA,Henry,NA,NA,NA,10,1,NA,NA,1,IN
NA,Jamie,NA,NA,NA,10,1,NA,NA,13,IN
NA,Michael,NA,NA,NA,10,1,NA,NA,11,IN
NA,Phil,NA,NA,NA,10,1,NA,NA,8,IN
NA,Priya,NA,NA,NA,10,1,NA,NA,7,IN
NA,Rosie,NA,NA,NA,10,1,NA,NA,2,IN
NA,Steph,NA,NA,NA,10,1,NA,NA,3,IN
NA,Dan,NA,NA,NA,10,1,NA,NA,9,OUT
NA,Michelle,NA,NA,NA,10,1,NA,NA,6,STAR BAKER
NA,Amelia,NA,NA,NA,10,2,NA,NA,9,IN
NA,David,NA,NA,NA,10,2,NA,NA,2,IN
NA,Helena,NA,NA,NA,10,2,NA,NA,12,IN
NA,Henry,NA,NA,NA,10,2,NA,NA,6,IN
NA,Michael,NA,NA,NA,10,2,NA,NA,4,IN
NA,Michelle,NA,NA,NA,10,2,NA,NA,8,IN
NA,Phil,NA,NA,NA,10,2,NA,NA,3,IN
NA,Priya,NA,NA,NA,10,2,NA,NA,7,IN
NA,Rosie,NA,NA,NA,10,2,NA,NA,5,IN
NA,Steph,NA,NA,NA,10,2,NA,NA,10,IN
NA,Jamie,NA,NA,NA,10,2,NA,NA,11,OUT
NA,Alice,NA,NA,NA,10,2,NA,NA,1,STAR BAKER
NA,Dan,NA,NA,NA,10,2,NA,NA,NA,NA
NA,Alice,NA,NA,NA,10,3,NA,NA,7,IN
NA,David,NA,NA,NA,10,3,NA,NA,2,IN
NA,Helena,NA,NA,NA,10,3,NA,NA,8,IN
NA,Henry,NA,NA,NA,10,3,NA,NA,1,IN
NA,Michelle,NA,NA,NA,10,3,NA,NA,5,IN
NA,Phil,NA,NA,NA,10,3,NA,NA,10,IN
NA,Priya,NA,NA,NA,10,3,NA,NA,4,IN
NA,Rosie,NA,NA,NA,10,3,NA,NA,9,IN
NA,Steph,NA,NA,NA,10,3,NA,NA,3,IN
NA,Amelia,NA,NA,NA,10,3,NA,NA,11,OUT
NA,Michael,NA,NA,NA,10,3,NA,NA,6,STAR BAKER
NA,Dan,NA,NA,NA,10,3,NA,NA,NA,NA
NA,Jamie,NA,NA,NA,10,3,NA,NA,NA,NA
NA,Alice,NA,NA,NA,10,4,NA,NA,8,IN
NA,David,NA,NA,NA,10,4,NA,NA,2,IN
NA,Helena,NA,NA,NA,10,4,NA,NA,9,IN
NA,Henry,NA,NA,NA,10,4,NA,NA,3,IN
NA,Michael,NA,NA,NA,10,4,NA,NA,7,IN
NA,Michelle,NA,NA,NA,10,4,NA,NA,5,IN
NA,Priya,NA,NA,NA,10,4,NA,NA,10,IN
NA,Rosie,NA,NA,NA,10,4,NA,NA,4,IN
NA,Phil,NA,NA,NA,10,4,NA,NA,6,OUT
NA,Steph,NA,NA,NA,10,4,NA,NA,1,STAR BAKER
NA,Amelia,NA,NA,NA,10,4,NA,NA,NA,NA
NA,Dan,NA,NA,NA,10,4,NA,NA,NA,NA
NA,Jamie,NA,NA,NA,10,4,NA,NA,NA,NA
NA,Alice,NA,NA,NA,10,5,NA,NA,6,IN
NA,David,NA,NA,NA,10,5,NA,NA,9,IN
NA,Henry,NA,NA,NA,10,5,NA,NA,3,IN
NA,Michael,NA,NA,NA,10,5,NA,NA,8,IN
NA,Priya,NA,NA,NA,10,5,NA,NA,2,IN
NA,Rosie,NA,NA,NA,10,5,NA,NA,5,IN
NA,Helena,NA,NA,NA,10,5,NA,NA,1,OUT
NA,Michelle,NA,NA,NA,10,5,NA,NA,7,OUT
NA,Steph,NA,NA,NA,10,5,NA,NA,4,STAR BAKER
NA,Amelia,NA,NA,NA,10,5,NA,NA,NA,NA
NA,Dan,NA,NA,NA,10,5,NA,NA,NA,NA
NA,Jamie,NA,NA,NA,10,5,NA,NA,NA,NA
NA,Phil,NA,NA,NA,10,5,NA,NA,NA,NA
NA,Alice,NA,NA,NA,10,6,NA,NA,1,IN
NA,David,NA,NA,NA,10,6,NA,NA,2,IN
NA,Henry,NA,NA,NA,10,6,NA,NA,4,IN
NA,Michael,NA,NA,NA,10,6,NA,NA,6,IN
NA,Rosie,NA,NA,NA,10,6,NA,NA,5,IN
NA,Priya,NA,NA,NA,10,6,NA,NA,7,OUT
NA,Steph,NA,NA,NA,10,6,NA,NA,3,STAR BAKER
NA,Amelia,NA,NA,NA,10,6,NA,NA,NA,NA
NA,Dan,NA,NA,NA,10,6,NA,NA,NA,NA
NA,Helena,NA,NA,NA,10,6,NA,NA,NA,NA
NA,Jamie,NA,NA,NA,10,6,NA,NA,NA,NA
NA,Michelle,NA,NA,NA,10,6,NA,NA,NA,NA
NA,Phil,NA,NA,NA,10,6,NA,NA,NA,NA
NA,Alice,NA,NA,NA,10,7,NA,NA,6,IN
NA,David,NA,NA,NA,10,7,NA,NA,2,IN
NA,Rosie,NA,NA,NA,10,7,NA,NA,1,IN
NA,Steph,NA,NA,NA,10,7,NA,NA,4,IN
NA,Michael,NA,NA,NA,10,7,NA,NA,5,OUT
NA,Henry,NA,NA,NA,10,7,NA,NA,3,STAR BAKER
NA,Amelia,NA,NA,NA,10,7,NA,NA,NA,NA
NA,Dan,NA,NA,NA,10,7,NA,NA,NA,NA
NA,Helena,NA,NA,NA,10,7,NA,NA,NA,NA
NA,Jamie,NA,NA,NA,10,7,NA,NA,NA,NA
NA,Michelle,NA,NA,NA,10,7,NA,NA,NA,NA
NA,Phil,NA,NA,NA,10,7,NA,NA,NA,NA
NA,Priya,NA,NA,NA,10,7,NA,NA,NA,NA
NA,Alice,NA,NA,NA,10,8,NA,NA,3,IN
NA,David,NA,NA,NA,10,8,NA,NA,1,IN
NA,Rosie,NA,NA,NA,10,8,NA,NA,2,IN
NA,Henry,NA,NA,NA,10,8,NA,NA,5,OUT
NA,Steph,NA,NA,NA,10,8,NA,NA,4,STAR BAKER
NA,Amelia,NA,NA,NA,10,8,NA,NA,NA,NA
NA,Dan,NA,NA,NA,10,8,NA,NA,NA,NA
NA,Helena,NA,NA,NA,10,8,NA,NA,NA,NA
NA,Jamie,NA,NA,NA,10,8,NA,NA,NA,NA
NA,Michael,NA,NA,NA,10,8,NA,NA,NA,NA
NA,Michelle,NA,NA,NA,10,8,NA,NA,NA,NA
NA,Phil,NA,NA,NA,10,8,NA,NA,NA,NA
NA,Priya,NA,NA,NA,10,8,NA,NA,NA,NA
NA,David,NA,NA,NA,10,9,NA,NA,2,IN
NA,Steph,NA,NA,NA,10,9,NA,NA,3,IN
NA,Rosie,NA,NA,NA,10,9,NA,NA,1,OUT
NA,Alice,NA,NA,NA,10,9,NA,NA,4,STAR BAKER
NA,Amelia,NA,NA,NA,10,9,NA,NA,NA,NA
NA,Dan,NA,NA,NA,10,9,NA,NA,NA,NA
NA,Helena,NA,NA,NA,10,9,NA,NA,NA,NA
NA,Henry,NA,NA,NA,10,9,NA,NA,NA,NA
NA,Jamie,NA,NA,NA,10,9,NA,NA,NA,NA
NA,Michael,NA,NA,NA,10,9,NA,NA,NA,NA
NA,Michelle,NA,NA,NA,10,9,NA,NA,NA,NA
NA,Phil,NA,NA,NA,10,9,NA,NA,NA,NA
NA,Priya,NA,NA,NA,10,9,NA,NA,NA,NA
NA,Alice,NA,NA,NA,10,10,NA,NA,2,Runner-up
NA,Steph,NA,NA,NA,10,10,NA,NA,3,Runner-up
NA,David,NA,NA,NA,10,10,NA,NA,1,WINNER
NA,Amelia,NA,NA,NA,10,10,NA,NA,NA,NA
NA,Dan,NA,NA,NA,10,10,NA,NA,NA,NA
NA,Helena,NA,NA,NA,10,10,NA,NA,NA,NA
NA,Henry,NA,NA,NA,10,10,NA,NA,NA,NA
NA,Jamie,NA,NA,NA,10,10,NA,NA,NA,NA
NA,Michael,NA,NA,NA,10,10,NA,NA,NA,NA
NA,Michelle,NA,NA,NA,10,10,NA,NA,NA,NA
NA,Phil,NA,NA,NA,10,10,NA,NA,NA,NA
NA,Priya,NA,NA,NA,10,10,NA,NA,NA,NA
NA,Rosie,NA,NA,NA,10,10,NA,NA,NA,NA
